LONGITUDE,LATITUDE,SRCE_CNTRE,DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM
134.4017841,-29.7011293,near hole CM023C-A,COMET,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Christie Gneiss
134.995709,-30.8665593,,SUTHERLANDS,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Kenella Gneiss
134.813942,-31.2439693,near hole LRC 554,TOMAHAWK SOUTH,Gold,Low Significance,GAWLER RANGE VOLCANIC PROVINCE,hydrothermal alteration,Hiltaba Suite
134.775732,-31.2000623,near hole LRC 474,TUNKILLIA 191,Gold,Low Significance,GAWLER RANGE VOLCANIC PROVINCE,hydrothermal alteration,Hiltaba Suite
135.075385,-31.0790803,workings,DARLEYS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
137.1764056,-33.1916814,near hole MBR159,DRACHMA,Gold,Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Middleback Subgroup
139.2329903,-33.0032155,workings,ALTITUDE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Gumbowie Arkose
134.2733091,-30.6332903,,MIR,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Christie Gneiss
135.084956,-31.0832013,,MONARCH,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Glenloth Granite
134.76487,-31.2263593,near hole LED020,TUNKILLIA 223,"Gold, Silver",Significant to SA,GAWLER RANGE VOLCANIC PROVINCE,Tunkillia Suite,Tunkillia Suite
139.2057814,-31.5948005,dark o/c,MAMMOTH BLACK RIDGE,"Copper, Silver, Gold, Iron",Low Significance,ADELAIDE GEOSYNCLINE,Tertiary deep weathering,Sunderland Formation
133.4658122,-29.7351923,,INDOOROOPILLY BORE,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Christie Gneiss,Christie Gneiss
133.5822922,-30.1244763,,WOOMERA TANK,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Christie Gneiss,Christie Gneiss
138.7485142,-34.9589645,workings?,LADY EDITH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Basket Range Sandstone
138.7062365,-30.2998324,workings,NICHOLS NOB,"Copper, Silver, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
138.6713475,-30.9389264,,MOSLEYS,"Copper, Gold, Cobalt",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Curdimurka Subgroup
138.7090852,-34.8779125,creek bed,MALPAS,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.7172862,-34.8942805,creek bed,MARYBANK,Gold,Low Significance,,quartz vein unit 4,Burra Group
138.9961492,-34.7875075,disturbed ground,BRADFORD,"Kaolin, Gold",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Tertiary-Pleistocene regolith/colluvial sediments,Backstairs Passage Formation
138.9868502,-34.8193605,N boundary section 6343,DURDAN,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Backstairs Passage Formation
138.9723352,-34.7854755,,HINDMARSH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Saddleworth Formation
138.9755672,-34.7957325,,LITTLE CRUMB,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Saddleworth Formation
138.9781282,-34.7882125,,LUCKY HIT NORTH,Gold,Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein unit 4,Carrickalinga Head Formation
138.8210642,-34.6551255,,BUCKERFIELD,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8354422,-34.6476285,head of dam,BULLOCKY GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8295672,-34.6553675,hut,CAMP HILL,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8959182,-34.7259065,trees,CLARKS DELORAINE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Burra Group
138.8401512,-34.6048865,tree in creek,COCKATOO VALLEY ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.8410012,-34.6415055,driveway entrance,COTTERS HILL,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8303632,-34.6499715,,HATCHES HILL,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8269762,-34.6543295,old pit?,HISSEYS GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8223102,-34.6600245,shallow workings,HORSESHOE BEND,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.9573532,-34.5737715,creek bed,JACOBS CREEK ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8315102,-34.6478285,dirt track turnaround,JONES HILL ALLUVIALS,Gold,Low Significance,,quartz vein unit 4,Barossa Complex
138.8340982,-34.6489565,pits?,KAPUNDA HILL,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.9286392,-34.7405775,on track following ck,KEROSENE GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.7219442,-34.8223505,creek junction,TEA TREE GULLY ALLUVIALS,"Gold, Clay",Low Significance,,Holocene alluvial/fluvial unit 1,
139.2292883,-33.0074775,working?,MARKEY CLAIM,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Fortress Hill Formation
133.5820932,-29.6026673,ENRC05,ENDOR,"Copper, Gold",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Christie Gneiss
138.9240092,-34.7488385,track crosses ck,DEAD HORSE GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8950962,-34.7388715,,DELORAINE KING,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Burra Group
134.76487,-31.2263593,near hole LED020,TUNKILLIA 223,"Gold, Silver",Significant to SA,GAWLER RANGE VOLCANIC PROVINCE,,
134.76487,-31.2263593,near hole LED020,TUNKILLIA 223,"Gold, Silver",Significant to SA,GAWLER RANGE VOLCANIC PROVINCE,,
134.76487,-31.2263593,near hole LED020,TUNKILLIA 223,"Gold, Silver",Significant to SA,GAWLER RANGE VOLCANIC PROVINCE,,
135.068633,-31.0924113,,TWO MUGS,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
133.4279702,-30.2018923,,TYPHOON,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Mulgathing Complex,Mulgathing Complex
134.523878,-30.7102403,,TARCOOLA UNITED SOUTH,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Tarcoola Formation
138.7693132,-35.0976485,head of S-most dam,TENNANTS,Gold,Low Significance,,Holocene alluvial/fluvial sediments,
138.8946142,-35.0237565,fenced off area,THEOBALDS,"Gold, Silver",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Mitcham Quartzite
138.8750462,-35.0002935,,UNITY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8195052,-34.6937745,disturbed ground?,YOUNG AUSTRALIAN NO.3,"Gold, Silver",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Barossa Complex
138.9648022,-34.4339215,qz vein?,HEGGIES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,deep weathering,Wilpena Group
139.0600363,-33.5549725,qz vein,GOLDEN GUINEA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Wildildie Sandstone Member
139.0680353,-33.5742045,portal of adit,GOLDEN HARP,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Cox Sandstone Member
138.8517602,-34.6367375,pit?,NAPOLEON,Gold,Low Significance,,Tertiary rocks,
138.8219022,-34.6943765,,NEW YEARS EVE REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.9088882,-34.5770535,top of river valley,NORTH PARA ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Miocene-Pliocene unit 2,
138.8326132,-34.6515445,creek bed,NUGGETY GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8884172,-34.7331695,edge of trees,OVERSIGHT,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Stonyfell Quartzite
139.0516283,-33.5447795,,ORINDA,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Waukaringa Siltstone
139.0770613,-33.4911575,,PAR LAP,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Ketchowla Siltstone
139.0708653,-33.6053145,adit,PINNAROO SYNDICATE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tarcowie Siltstone
138.8972962,-34.7236915,,SHEOAK RIDGE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Stonyfell Quartzite
138.7823072,-34.7458845,trench,SHILLABEERS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.8327662,-34.6561455,disturbed ground,SIMMONDS HILL,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8403282,-34.6366385,disturbed ground,SIMS RUSH,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 2,Emeroo Subgroup
138.9752862,-34.7781465,pit?,SMITHFIELD,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Saddleworth Formation
138.8463722,-34.6813545,river bed,SOUTH PARA ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.9790263,-33.3312455,,SCRUBBERS CAMP,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 3,Skillogalee Dolomite
139.1402532,-33.5460285,shaft?,SEATON AND GREGORY,Gold,Low Significance,,Pleistocene alluvial/fluvial sediments,
133.9105342,-29.8849613,RED 49,IBIS,"Iron, Gold",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Christie Gneiss,
139.0600363,-33.5568535,workings?,GOOD HOPE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Waukaringa Siltstone
139.1723742,-33.5200085,,GORDON AND FUSS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Waukaringa Siltstone
139.0660993,-33.5735705,,HANSEL MUNDY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
138.2311934,-33.2292304,,HOWE ALLUVIALS,Gold,Low Significance,,Quaternary alluvial/fluvial sediments,
139.0698533,-33.5709325,,PRICES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
139.0630013,-33.5659445,,REIDS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
139.0683453,-33.5835155,portal Adit 12,RISING SUN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
139.0698233,-33.5093065,shaft,SHIPWAY AND EVANS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Pepuarta Tillite
139.1071553,-32.7919625,,STATTONS NACKARA,"Silver, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tapley Hill Formation
138.9006415,-30.1139204,,WALTERS WELL,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Amberoona Formation
138.5809245,-30.9887644,qz vein?,FERGUSSONS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Brachina Formation
138.7691492,-35.0834165,,BELLS HILL,Gold,Low Significance,,Tertiary rocks,
138.7712552,-35.0814285,,HOPES,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7779832,-35.0844305,,HOUGHS,Gold,Low Significance,,Holocene alluvial/fluvial sediments,
138.7838242,-35.0761885,white clay patch,JACKMANS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.9431345,-30.1063835,prospecting pit,NEVADA,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,Amberoona Formation,Amberoona Formation
138.9044602,-35.0544435,disturbed ground?,MOUNT BARKER AREA,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,deep weathering,Tapley Hill Formation
138.7877082,-35.0379455,qz float,VICTOR GEORGE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7862352,-35.0391615,near fence,VICTORIA REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7683692,-35.0558015,old pit?,WARRAKILLA SOUTH EXTENDED,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7698542,-35.0576325,workings in trees?,WARRAKILLA  SOUTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7762612,-35.0569515,2 trees,WARRAKILLA BOULDER,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7731002,-35.0592245,shrub,WARRAKILLA BROKEN HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7726142,-35.0551415,disturbed ground,WARRAKILLA,"Gold, Bismuth",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7733272,-35.0549015,disturbed ground,WARRAKILLA NORTH,"Gold, Bismuth",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7756362,-35.0829895,,BIG BEN,"Gold, Bismuth",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),quartz vein,Woolshed Flat Shale
138.7552492,-35.0683395,river bank,BLACKSAND CORNER,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.7836612,-35.0785575,tree,BREAK OF DAY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.8031512,-35.0424635,tree,BREMERS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.8774082,-35.1084255,erosion at top of gully,BUGLE RANGES,"Silver, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Umberatana Group
138.8753632,-35.0011075,,CARR AND DOHERTY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,
138.7700102,-35.0812415,Chapel Hill,CHAPEL HILL ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 2,
138.7734302,-35.0827425,,CHAPMANS GULLY ALLUVIALS,Gold,Locally Significant,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 1,
138.7733052,-35.0837555,,CHAPMANS GULLY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7671152,-35.0826155,,CHRISTMAS RUSH,Gold,Low Significance,,Quaternary rocks,
138.7767682,-35.0492845,qz float?,JOHN BULL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.8778222,-34.9992575,spoils?,JOHNSTONS FREEHOLD,Gold,Low Significance,,Tertiary-Pleistocene rocks,Barossa Complex
138.7946682,-35.0522265,qz reef?,KANGAROO,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7854952,-35.0406375,fenceline,KEKWICKS REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7860232,-35.0353905,workings?,KING EDWARD VII,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7762452,-35.0928175,heap,KING,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7840072,-35.0816015,disturbed ground?,LAWRENCES REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7817652,-35.0764775,large dam,LITTLE BENDIGO GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8219639,-34.6746028,,PARA WIRRA PROSPECTING,Gold,Low Significance,,,
138.7905142,-35.0558465,old pit,MOUNT PANGAEUS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.8214552,-35.0095275,old diggings?,MOUNT VENTURE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7533662,-35.0588755,large dam,MYLOR,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 1,
138.8959262,-35.0238695,white dumps?,NAIRNE CONSOLS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Belair Subgroup
138.8680522,-34.9999885,,NEW ECLIPSE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.9378932,-34.7396575,,SPECK GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8331662,-34.6470465,dam,SPIKE GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
133.5483112,-29.8903863,,ATLANTIS,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Mulgathing Complex,Mulgathing Complex
134.810232,-31.6142803,,BIMBA,Gold,Low Significance,GAWLER CRATON,hydrothermal alteration,Hiltaba Suite
135.17077,-30.7246263,OUTCROP,BIG TANK,"Iron, Gold",Low Significance,GAWLER CRATON,Wilgena Hill Jaspilite,Palaeoproterozoic rocks
139.2335533,-33.0029385,workings,MOUNT AVONDALE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Fortress Hill Formation
138.8347852,-34.6549445,,RED HILL ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 1,
138.9435842,-34.5668695,,ROWLANDS FLAT,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8403492,-34.6603365,cleared area,BAROSSA SAILORS GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.9329882,-34.7252695,,SAILORS GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8498152,-34.5598885,diggings?,SANDY CREEK ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary rocks,
138.9450072,-34.7351845,,TALC GULLY,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.8236092,-34.6966965,shaft,TRY AGAIN,"Gold, Copper",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8324412,-34.6538455,creek bed,TWO SPECK GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
139.0700103,-33.5977265,portal Adit B2,TAKATI,Gold,Locally Significant,ADELAIDE GEOSYNCLINE,quartz vein unit 1,Tarcowie Siltstone
139.0702643,-33.6018335,portal adit A1,THREADGOLDS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
138.9804993,-33.3528705,pit,TIVERS POINT,Gold,Low Significance,,Tertiary-Pleistocene alluvial/fluvial sediments,
138.8218902,-34.6485585,workings?,BAND OF HOPE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.833575,-34.6505861,,BAROSSA BOULDER,Gold,Low Significance,,,
134.560688,-30.6993613,,SCHOOL,Gold,Low Significance,GAWLER CRATON,quartz vein,Tarcoola Formation
135.082158,-31.1046293,,SEARCHLIGHT,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
134.779563,-31.6947723,near hole  NHAC 27,SHEOAK,"Gold, Silver",Low Significance,GAWLER RANGE VOLCANIC PROVINCE,hydrothermal alteration,Hiltaba Suite
135.07127,-31.1163793,pit?,SIR EDMOND,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
139.0654513,-33.5729945,,KING FRANCIS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tarcowie Siltstone
139.0611403,-33.5799855,portal Adit 6,LEWIS CLAIM,Gold,Low Significance,,Quaternary alluvial/fluvial sediments,
138.5847123,-33.7939155,qz blow,LLOYDS,"Gold, Silver",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Anama Siltstone Member
139.0484113,-33.5550215,workings,ROSEWALLS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Fortress Hill Formation
139.0650113,-33.5720545,,SALTER AND HOGANS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
139.0685153,-33.5720215,,SALTERS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Tarcowie Siltstone
138.6620885,-30.3102534,,MOUNT OGILVIE,"Gold, Nickel",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation
138.6191063,-33.9825705,workings?,WATERVALE SYNDICATE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Watervale Sandstone Member
138.9827333,-33.3375315,central pit,WHITES ULOOLOO,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial unit 2,Skillogalee Dolomite unit 6
138.8222252,-35.0424465,qz o/c,WATERLOO,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Stonyfell Quartzite
138.7718932,-35.0773325,,WATTLE FLAT,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.8709272,-35.0026565,,WHITE GUM,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Barossa Complex
138.7758542,-35.0425975,dam,WHITEMANS GULLY,Gold,Low Significance,,Quaternary rocks,
139.2355083,-33.0015225,workings,ALTIMETER,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Gumbowie Arkose
139.0726913,-33.6249555,open cut,ANDERSONS REWARD,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tarcowie Siltstone
138.7874472,-35.0354165,workings?,LUCKY 7,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7635462,-35.0857095,,NEW RUSH,"Gold, Diamond",Low Significance,,Tertiary rocks,
138.7716522,-35.0859975,,NON PAREIL EXTENDED,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7712202,-35.0854615,,NON PAREIL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7773222,-35.0919035,creek,KING NORTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.8951062,-35.0216465,old pit,NAIRNE NORTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Belair Subgroup
138.7781572,-35.0667995,creek,OSULLIVANS ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial sediments,
133.9210591,-29.9186333,near hole BD044C,BIRTHDAY,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Christie Gneiss
133.5511592,-30.2662463,,BLACK KNIGHT,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Christie Gneiss
135.090473,-31.0853293,,BLUE PETER,Gold,Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
138.8381492,-34.6463235,cleared patch in treed area,AFGHAN HILL,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8263952,-34.7041455,,ALADDIN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8379092,-34.6534415,creek bed,AUBURN HILL,Gold,Low Significance,ADELAIDE GEOSYNCLINE,Miocene-Pliocene unit 2,
138.8834302,-34.6738955,shrub,AULD AND TOUT,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Burra Group
138.7850192,-35.0436635,trees,SUNNY SOUTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7728372,-35.0569435,pit?,DAYS CLAIM,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7814572,-35.0745225,small heap,DIAMOND GULLY,Gold,Low Significance,,Holocene alluvial/fluvial sediments,
138.7699172,-35.0541865,,DONKEY GULLY ALLUVIALS,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Holocene alluvial/fluvial sediments,
138.7936832,-35.0888095,shed,ECHUNGA GOVERNMENT,Gold,Low Significance,,Holocene alluvial/fluvial unit 2,
138.7749062,-35.0819905,,LADY JERVOIS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Emeroo Subgroup
138.7927372,-35.0302845,disturbed ground,MAY QUEEN,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Emeroo Subgroup
138.7684462,-35.0610315,tree,MCKIES GOLDEN RISE,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Emeroo Subgroup
138.7750232,-35.0826975,,MCLARTYS LEADER,"Gold, Bismuth",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7697932,-35.0522665,tree,MCLEODS,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Woolshed Flat Shale
138.7930352,-35.0599495,pit?,MIZPAH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Woolshed Flat Shale
138.7640632,-35.0830555,adit,POOR MANS HILL,"Gold, Diamond",Low Significance,,Tertiary-Pleistocene rocks,Tertiary rocks
138.7616382,-35.0654135,creek below dam wall,PRICES ALLUVIALS,Gold,Low Significance,,Holocene alluvial/fluvial unit 1,
138.8269762,-34.6543295,coords for Hisseys Gully,VICTORIA HILL,Gold,Low Significance,TERTIARY PALAEOCHANNELS,Miocene-Pliocene unit 2,
138.8205202,-34.6604705,pit,VICTORIA REEF,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Barossa Complex
138.8883132,-34.7265415,,OLD VICTORY,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein unit 4,Stonyfell Quartzite
138.8235642,-34.6580465,,WALKERVILLE GULLY,Gold,Low Significance,,Miocene-Pliocene unit 2,
138.8285952,-34.6529155,old diggings,WASH HILL,Gold,Low Significance,,Miocene-Pliocene unit 2,
135.1332639,-31.0857373,,SOUTHERN CROSS,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein,Glenloth Granite
135.109916,-31.1047893,,SPECIMEN FLAT,Gold,Low Significance,WILGENA SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Glenloth Granite
139.4131214,-30.2862285,working?,EDWARDS FIND,"Copper, Gold",Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Wooltana Volcanics
139.3789874,-30.3388615,qz float,LIVELYS FIND SOUTH,Gold,Low Significance,ADELAIDE GEOSYNCLINE,quartz vein,Tapley Hill Formation
