DEP_NAME,COMMODS,SIZE_VAL,GEOL_PROV,O_STRAT_NM,H_STRAT_NM,LONGITUDE,LATITUDE
ETHIOPIA,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Miltalie Gneiss,Hutchison Group,136.6428446,-33.3022424
PUNDINYA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Pidinga Clay,133.7433222,-30.4164083
KOPPIO AREA,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Lincoln Complex,Hutchison Group,135.8002807,-34.4070304
FORESTER BORE,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Namba Formation,Namba Formation,139.6460473,-31.3575505
CAPRA,"Uranium, Copper",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),hydrothermal alteration,Mount Gee Formation,139.3544714,-30.2092195
RADIUM RIDGE EAST,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),hydrothermal alteration,Radium Ridge Breccias,139.3345364,-30.2178545
EPSILON,Uranium,Low Significance,MOUNT WOODS INLIER,skarn,Mount Woods Complex,135.49004,-29.7090643
TRITON,"Copper, Gold, Uranium",Low Significance,MOUNT WOODS INLIER,Olympic Dam Formation,Gawler Range Volcanics,135.6298389,-29.7468283
POONDOOMA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Tertiary rocks,137.0508196,-33.4938414
MUTOOROO,Uranium,Low Significance,ADELAIDE GEOSYNCLINE,hydrothermal alteration,Burra Group,140.8524911,-32.5489826
BOOLCOOMATA,Uranium,Low Significance,CURNAMONA PROVINCE,quartz vein,Mesoproterozoic unit 1,140.3038372,-32.0387125
TINTINARA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Quaternary alluvial/fluvial sediments,Quaternary rocks,140.0754439,-35.8569645
WEAMPA,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Olney Formation,Olney Formation,140.2425519,-36.2870066
ENUNGARENNA HILL,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Hooray Sandstone,134.0720082,-26.5629863
ULYSSES,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Tertiary-Pleistocene regolith/colluvial sediments,Palaeoproterozoic rocks,135.5875938,-32.9518163
DRIVER RIVER,Uranium,Low Significance,GAWLER CRATON,Tertiary-Pleistocene regolith/colluvial sediments,Blue Range beds,136.2519977,-33.7794674
MOUNT HILL,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,,136.1047587,-33.9980834
BOOTHBY,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Miltalie Gneiss,,136.5485386,-33.7546394
DEAD HORSE BAY,Uranium,Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Oorlano Metasomatite,137.8845454,-34.5506874
IDA DAM,Uranium,Low Significance,PIRIE-TORRENS BASIN,Tertiary rocks,,138.2242925,-30.8682284
TABITA,Uranium,Low Significance,,hydrothermal alteration,Tertiary-Pleistocene rocks,140.3901072,-31.8933365
JUNGLE DAM,"Uranium, Manganese",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hutchison Group,136.6185257,-32.8552294
VICTORY,"Uranium, Copper, Rare Earths",Low Significance,PEAKE AND DENISON INLIERS,quartz vein,Callanna Group,135.9816079,-28.5308863
KHAMSIN,"Copper, Silver, Gold, Uranium, Uranium Oxide",Significant to SA,GAWLER CRATON,skarn,Donington Suite,137.4061556,-31.1818404
PRAIRIE DAM,"Uranium, Uranium Oxide",Low Significance,MURRAY BASIN,Knight Group,,139.9793172,-33.0394965
JONES DAM,Uranium,Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Tertiary rocks,140.8360161,-32.6474706
ONE GUM BORE,Uranium,Low Significance,,Tertiary rocks,,139.5595643,-31.3329545
SAFFRON,"Uranium, Uranium Oxide",Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Eyre Formation,140.8416521,-31.7370256
VALLEY,"Uranium, Uranium Oxide",Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),quartz vein unit 3,Wywyana Formation,139.3647644,-30.1489425
WIRRDA WELL,"Copper, Gold, Uranium",Locally Significant,GAWLER CRATON,Gawler Range Volcanic Complex,Donington Suite,136.9504757,-30.6487564
ZEALOUS,"Lead, Tin, Uranium, Zinc",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hutchison Group,Hutchison Group,136.5205247,-32.6535224
SANDIOOTA,Uranium,Low Significance,,Tertiary rocks,,139.8135633,-31.3022635
SCOTT LEE,"Copper, Gold, Uranium",Low Significance,MOUNT BABBAGE INLIER (CURNAMONA PROVINCE),Mesoproterozoic rocks,Terrapinna Granite,139.6058964,-29.9409885
NEPTUNE,"Copper, Gold, Uranium",Low Significance,MOUNT WOODS INLIER,Olympic Dam Formation,Gawler Range Volcanics,135.6375799,-29.7443093
BASIL ROESLERS,"Metasiltstone, Uranium",Low Significance,KANMANTOO TROUGH (ADELAIDE GEOSYNCLINE),Backstairs Passage Formation,,139.0687922,-34.6479415
CHICK IN GREEN,"Feldspar, Beryl, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Willyama Supergroup,140.1822822,-32.1068195
WATTLEOWIE,"Thorium, Uranium",Low Significance,CURNAMONA CRATON (CURNAMONA PROVINCE),quartz vein unit 4,Mount Neill Granite,139.6787744,-29.9573955
CROCKER,"Thorium, Uranium",Low Significance,CURNAMONA PROVINCE,Crocker Well Adamellite,,139.8070032,-32.0238245
CAMPOONA SHAFT,"Graphite, Uranium",Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),Mangalo Schist,Mangalo Schist,136.4790137,-33.5278714
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
GEORGE CREEK,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Eyre Formation,Eyre Formation,139.3478705,-29.5945455
SEAHAM,Uranium,Low Significance,,hydrothermal alteration,Eocene-Pleistocene regolith/colluvial unit 1,137.5666077,-30.0733864
GAIRLOCH,Uranium,Locally Significant,TERTIARY PALAEOCHANNELS,hydrothermal alteration,Tertiary rocks,140.6753101,-32.7121075
LAMBERTS,Uranium,Low Significance,MURRAY BASIN,Miocene-Pleistocene alluvial/fluvial sediments,,140.961112,-32.5925446
BIRKSGATE,"Copper, Graphite, Silver, Gold, Molybdenum, Uranium, Vanadium",Low Significance,CURNAMONA PROVINCE,hydrothermal alteration,Willyama Supergroup,140.3638892,-31.3114915
BONYTHON EAST,Uranium,Low Significance,CURNAMONA PROVINCE,quartz vein,Willyama Supergroup unit 1,140.6689831,-32.3139935
BONYTHON SOUTH,Uranium,Low Significance,CURNAMONA PROVINCE,quartz vein,Willyama Supergroup unit 1,140.6652601,-32.3154275
BOOLCOOMATA GK1,"Thorium, Rare Earths, Rutile, Uranium",Locally Significant,CURNAMONA CRATON (CURNAMONA PROVINCE),quartz vein unit 3,Willyama Supergroup,140.2392442,-31.8703605
PANNIKAN,Uranium,Locally Significant,,Eyre Formation,,139.5573034,-30.1165065
MOUNT OLINTHUS,"Manganese, Dolomite, Thorium, Uranium",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),deep weathering,Katunga Dolomite,136.7867076,-33.5890974
EAST PAINTER D,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Creek Metamorphics,Radium Creek Metamorphics,139.3803404,-30.2249245
EAST PAINTER C,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Creek Metamorphics,Radium Creek Metamorphics,139.3798724,-30.2217615
EAST PAINTER B,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Creek Metamorphics,Radium Creek Metamorphics,139.3798724,-30.2217615
EAST PAINTER A,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Creek Metamorphics,Radium Creek Metamorphics,139.3782774,-30.2208395
LAKE KROONILLA,"Radium, Gypsum, Uranium",Low Significance,,Quaternary lacustrine/playa unit 1,,132.6613803,-31.5483653
MITCHERIE,Uranium,Low Significance,,Tertiary rocks,,132.7892853,-31.4524193
INDOOROOPILLY SOUTH,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Pidinga Formation,,133.2940712,-29.9065083
KANGAROO CREEK EAST,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,Barossa Complex,138.7855272,-34.8666175
HALF MOON LAKE,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Pidinga Formation,,133.5908632,-30.0115253
FRANKLIN,Uranium,Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Hiltaba Suite,,137.2520065,-33.5481904
ALBERGA RIVER,Uranium,Low Significance,EROMANGA BASIN,Jurassic rocks,Jurassic rocks,133.5992643,-26.7987123
MOUNT JOHN EAST,Uranium,Low Significance,ADELAIDE GEOSYNCLINE,Parachilna Formation,Parachilna Formation,139.1539094,-30.9859615
KATCHIWILLEROO,Uranium,Low Significance,,Eyre Formation,,139.9177993,-31.4395965
RADFORD CREEK NORTH,"Copper, Rare Earths, Uranium",Low Significance,ADELAIDE GEOSYNCLINE,Parachilna Formation,Wonoka Formation,138.2150075,-32.0363964
EAST PAINTER H,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Ridge Breccias,Radium Ridge Breccias,139.3842904,-30.2279515
EAST PAINTER G,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Ridge Breccias,Radium Ridge Breccias,139.3867434,-30.2272595
EAST PAINTER F,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Ridge Breccias,Radium Ridge Breccias,139.3891504,-30.2230035
EAST PAINTER E,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),Radium Ridge Breccias,Radium Ridge Breccias,139.3892344,-30.2242225
JERAMS SOUTH,Uranium,Low Significance,MOUNT PAINTER INLIER (CURNAMONA PROVINCE),quartz vein,Freeling Heights Quartzite,139.5036774,-30.0333155
KARANNA,"Uranium, Kaolin, Peat",Low Significance,,Tertiary rocks,,135.6495278,-34.0051964
MILLBROOK NORTH,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,,138.8021372,-34.8320865
ARROWIE GORGE EAST,"Manganese, Copper, Uranium",Low Significance,ADELAIDE GEOSYNCLINE,ironstone,Wilkawillina Limestone,139.2459504,-30.7270105
KINLOCH DAM,Uranium,Low Significance,MURRAY BASIN,hydrothermal alteration,Tertiary rocks,140.7543271,-32.6917466
VANSTONES,"Copper, Gold, Uranium",Low Significance,STUART SHELF,hydrothermal alteration,Beda Basalt,137.9284934,-33.3754094
RED BANKS,Uranium,Low Significance,,Eyre Formation,,139.1775295,-29.4271955
GORGE URANIUM,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,,138.8078922,-34.8405195
FOUR MILE EAST,"Uranium, Uranium Oxide",Significant to Australia,FROME EMBAYMENT (EROMANGA BASIN),Arrowie Formation,Arrowie Formation,139.5282174,-30.1366665
MOORARI,Uranium,Low Significance,,Tertiary rocks,,140.1283245,-27.5499915
BIG LAKE 20,Uranium,Low Significance,COOPER BASIN,Namba Formation,Namba Formation,140.3398874,-28.2008665
CHALKER DAM,"Uranium, Uranium Oxide",Low Significance,MURRAY BASIN,Knight Group,,140.4309071,-32.9918865
MULGA DAM,Uranium,Low Significance,MURRAY BASIN,Miocene rocks,,140.6477771,-32.6638665
CORROBINNIE,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Tertiary-Pleistocene alluvial/fluvial sediments,Tertiary-Pleistocene alluvial/fluvial sediments,135.9233008,-32.8266354
YANDAMA CREEK,Uranium,Low Significance,FROME EMBAYMENT (EROMANGA BASIN),Eyre Formation,,140.7390473,-29.8758765
BIG LAKE 28,Uranium,Low Significance,COOPER BASIN,Namba Formation,Namba Formation,140.3087474,-28.2118865
MOOKWARINNA,"Uranium Oxide, Uranium",Locally Significant,,Eyre Formation,,138.7080445,-29.5849344
MUMPIE,Uranium,Low Significance,,Eyre Formation,,138.9741575,-29.6975304
PLASTIC TANK,Uranium,Low Significance,,Eyre Formation,,138.6822905,-29.5375764
JUBILEE,"Uranium Oxide, Uranium",Locally Significant,,Eyre Formation,,138.7098755,-29.5037734
SPOONERS,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,,138.7832472,-34.8638785
MILLBROOK WEST,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,,138.8014672,-34.8370965
MILLBROOK,Uranium,Low Significance,MOUNT LOFTY RANGES INLIERS,Barossa Complex,,138.8059872,-34.8360865
MULGATHING,"Gold, Uranium",Low Significance,CHRISTIE SUBDOMAIN (GAWLER CRATON),Sullivan Shale Member,Sullivan Shale Member,134.4299511,-30.7374893
BOW,Uranium,Low Significance,LAKE EYRE BASIN,Eyre Formation,,140.9725094,-28.0267665
BASSO,"Feldspar, Beryl, Uranium",Low Significance,WILLYAMA INLIERS (CURNAMONA PROVINCE),pegmatite,Mesoproterozoic unit 1,140.1697752,-32.0833725
NUNMULTA,"Uranium, Kaolin",Low Significance,,Uley Formation,,135.6118278,-34.2606864
KADINA,"Iron, Uranium",Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),Oorlano Metasomatite,Palaeoproterozoic rocks,137.7573684,-33.8747454
WEEDNANNA (GOLD),"Gold, Iron, Uranium",Significant to SA,CLEVE SUBDOMAIN (GAWLER CRATON),skarn,Hutchison Group,136.4798847,-32.7751404
ULTIMA DAM EAST,"Iron, Gold, Uranium",Locally Significant,CLEVE SUBDOMAIN (GAWLER CRATON),skarn,Hutchison Group,136.4746987,-32.7341134
TALLARINGA,"Uranium, Thorium",Low Significance,,Garford Formation,,133.2051283,-29.3341183
EMU PLAIN,"Copper, Uranium",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),Tertiary-Pleistocene regolith/colluvial sediments,Warrow Quartzite,136.5589766,-33.6033654
FOUR MILE WEST,"Uranium, Uranium Oxide",Significant to Australia,FROME EMBAYMENT (EROMANGA BASIN),Arrowie Formation,,139.4956174,-30.1516565
DOUBLE DAM,"Uranium, Rare Earths",Low Significance,CURNAMONA PROVINCE,Willyama Supergroup unit 1,,140.6124393,-32.0904078
CURRALULLA,Uranium,Low Significance,EROMANGA BASIN,Algebuckina Sandstone,,134.0730492,-26.3324323
BOARDS,"Copper, Graphite, Uranium",Low Significance,CLEVE SUBDOMAIN (GAWLER CRATON),quartz vein unit 4,Lower Middleback Jaspilite,136.7366566,-33.6393234
RADIUM HILL,"Uranium, Mica, Rare Earths, Radium, Uranium Oxide",Locally Significant,CURNAMONA PROVINCE,Willyama Supergroup unit 1,Willyama Supergroup unit 1,140.6380061,-32.3459705
MOUNT IGY,Uranium,Low Significance,TERTIARY PALAEOCHANNELS,Garford Formation,,133.1540823,-29.4772933
SAMPHIRE,Uranium,Low Significance,MOONTA SUBDOMAIN (GAWLER CRATON),hydrothermal alteration,Hiltaba Suite,137.3900695,-33.1963384
NOB WELL,"Uranium, Limestone",Low Significance,,Marree Formation,Marree Formation,139.0091315,-30.0180845
OAK DAM EAST,"Copper, Iron, Rare Earths, Uranium, Uranium Oxide",Locally Significant,GAWLER CRATON,skarn,Donington Suite,137.2491267,-30.9824574
